_runtime,_step,_timestamp,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name
264,12,1737419744,{'runtime': 262},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.0891037443900794,sgd,0.12023833095214038,0.9859017895547744,10,124,1686,17,4,0.6916339352301232,cool-sweep-90
291,14,1737419470,{'runtime': 289},13.586206896551726,12.215078901227352,2.801521070075758,3.136650617732558,38.86505232258595,2.406140651916451,28.700278482064924,2.520887138429752,0.1,0.06262443907385702,sgd,0.3892757732184699,0.9685140479757492,10,199,1046,67,5,0.6015013321928758,decent-sweep-89
808,42,1737419174,{'runtime': 807},22.666666666666664,14.693161893629457,2.7068536931818183,2.736989182692308,66.01131743811993,3.5706026785714284,63.7058896878507,3.578189036885246,1.0,0.09381236315629082,sgd,0.17948993328889443,0.9641809881980576,10,132,1056,21,3,0.7404892281930592,eager-sweep-88
497,26,1737418357,{'runtime': 495},8.881226053639848,10.058445353594388,2.71115234375,2.6982347328244276,61.30639777288059,3.4081688013747167,58.65580448065173,3.426630434782609,1.0,0.005427180146978794,sgd,0.192556823840609,0.8324830256017658,10,131,1661,145,1,0.5968829089279248,frosty-sweep-87
734,38,1737417856,{'runtime': 733},17.509578544061302,11.472822910578609,2.789349724264706,3.005991046348315,65.58355810902667,1.293360686922754,63.506380148800865,1.37396875,0.1,0.017649258638229616,sgd,0.10105894841598084,0.9003971214177107,10,194,1119,19,5,0.6459973419074623,vivid-sweep-86
304,14,1737417114,{'runtime': 303},32.45977011494253,24.412624196376388,2.2582609215561225,2.5757293701171875,57.59770707145053,1.859595916110789,51.96392202502182,1.9594346788194448,0.1,0.06411670166922083,sgd,0.4404484404558682,0.9158451304875878,10,134,1171,146,6,0.5311308043463278,atomic-sweep-85
256,12,1737416799,{'runtime': 255},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.08253693051028106,sgd,0.15264447815941973,0.855309994170456,10,194,685,27,4,0.5808848492052147,rural-sweep-84
1467,66,1737416538,{'runtime': 1466},33.30268199233716,21.77089421390999,2.55653311353211,2.6478911713286712,67.03785323698646,3.15006544237013,65.43497235961594,3.1701702774314215,1.0,0.00727361032173719,sgd,0.2195926574693767,0.9627964887869416,10,60,1802,33,4,0.4163171900452569,divine-sweep-83
528,26,1737415062,{'runtime': 518},25.402298850574713,16.58679135008767,2.4658203125,2.89959286971831,67.56302739304935,1.1248187557505258,65.79242695041356,1.18345703125,0.1,0.02192206254377336,sgd,0.4567376419485719,0.8590080560125831,10,243,1409,55,5,0.5629487654605063,fragrant-sweep-82
268,12,1737414530,{'runtime': 266},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.04937854425662991,sgd,0.1306105633733138,0.8084144719658034,10,198,1558,59,7,0.4864821983567957,dashing-sweep-81
540,28,1737414250,{'runtime': 538},21.340996168582375,18.492109877264756,2.653957790798611,2.759341931216931,66.13384364270838,1.2082210869806027,64.10490876595037,1.274200324292453,0.1,0.07049053365440096,sgd,0.13379203131700015,0.86630645291362,10,91,743,74,1,0.5518915350244565,gentle-sweep-80
