_runtime,_step,_timestamp,_wandb,acc_cis_test,acc_trans_test,loss_cis_test,loss_trans_test,train_acc,train_loss,val_acc,val_loss,t,lr,opt,dropout,momentum,patience,batch_size,hidden_dim,num_epochs,num_layers,weight_Clip,name
621,12,1737374757,{'runtime': 619},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.08498895595874724,sgd,0.1881140950156758,0.8164505422103686,10,190,837,101,7,0.49003184553694906,peach-sweep-12
2633,56,1737374131,{'runtime': 2630},32.83524904214559,20.672121566335477,2.6313273111979165,2.6930625,66.56117001701513,3.401872266088375,64.49145849785943,3.413330078125,1.0,0.09150078185857946,sgd,0.35401221826282325,0.8477575420360786,10,137,1457,75,4,0.624596179828182,easy-sweep-11
1263,26,1737371484,{'runtime': 1261},27.808429118773947,22.524839275277618,2.4038279043079096,2.459102235991379,65.80523095973088,1.2236625285273863,63.65185585435804,1.2960766751342023,0.1,0.0958429359695892,sgd,0.3943270526450603,0.9248342052332496,10,74,1868,80,1,0.5522664132581754,curious-sweep-10
1808,42,1737370213,{'runtime': 1806},35.793103448275865,28.0479251899474,2.716281467013889,3.0600534539473685,70.20535045525196,1.0538078248031495,64.0425620349973,1.2251417117011278,0.1,0.03305164247652372,sgd,0.38991101085961943,0.8021820011556431,10,182,1704,189,1,0.4864687646589608,skilled-sweep-9
2234,48,1737368399,{'runtime': 2232},36.015325670498086,22.62419637638808,2.607794943820225,2.6929721174568964,66.26069939516216,3.2461688220691864,64.75331476786234,3.2592863305214723,1.0,0.06218455760637216,sgd,0.46227972608941414,0.9177216880411564,10,148,1977,46,4,0.5470424729990572,autumn-sweep-8
240,4,1737366156,{'runtime': 237},11.46360153256705,10.98188194038574,2.7355332485465116,2.7452392578125,56.063315307982386,3.44727338576159,54.84849744378403,3.4558692642405062,1.0,0.018773201595750213,sgd,0.21334617592404465,0.8899893300433404,10,153,832,2,1,0.5992227649475705,drawn-sweep-7
5648,108,1737365908,{'runtime': 5646},15.777777777777777,16.353009935710112,2.6426900227864585,2.637726314484127,67.15345216499041,3.1510909212172504,65.77580115549276,3.16700873940678,1.0,0.003732020334309527,sgd,0.2478778543404889,0.8138704633260897,10,68,1260,61,4,0.41587222720616657,warm-sweep-6
635,12,1737360252,{'runtime': 633},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.04184447327194797,sgd,0.3503078750201811,0.9672491700501976,10,98,1414,120,3,0.400158408307713,charmed-sweep-5
2067,38,1737359602,{'runtime': 2061},38.490421455938694,25.35943892460549,2.622385817307692,2.6793313419117646,65.9286230738924,3.360904535144294,64.2919489588096,3.3733410695606696,1.0,0.006668645041911503,sgd,0.13700212938785128,0.8056266407957995,10,101,1292,101,7,0.5981908471232102,fluent-sweep-4
3334,64,1737357531,{'runtime': 3332},22.39846743295019,11.96376388077148,2.4709065755208335,2.893709697420635,65.63940927648926,1.4545687141227557,63.58535267467475,1.5194484904661016,0.1,0.052400871864937054,sgd,0.15875333836886513,0.9886347247089692,10,68,1346,143,3,0.6980065162276267,bumbling-sweep-3
612,12,1737354192,{'runtime': 610},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.019318451261580816,sgd,0.3661744452708765,0.98062366937752,10,252,1123,19,4,0.4189348070794616,deft-sweep-2
629,12,1737353574,{'runtime': 627},0.03065134099616858,0.08182349503214494,NaN,NaN,0.16668759281468237,NaN,0.17041439793840144,NaN,0.01,0.041006367938379445,sgd,0.22567000961419725,0.9369853013271356,10,151,763,58,2,0.7951282549263352,rose-sweep-1
